Translation,Avg Logit Value,Std Logit Value,Avg Non Zero,Std Non Zero
"∀x (ProfessionalSoccerPlayer(x) → ¬ProfessionalBasketballPlayer(x))
∀x (ProfessionalSoccerDefender(x) → ProfessionalSoccerPlayer(x))
∀x (ProfessionalCenterBack(x) → ProfessionalSoccerDefender(x))
∃x (Athlete(x) ∧ ProfessionalCenterBack(x))
ProfessionalBasketballPlayer(stephenCurry)",104.71069811320756,35.6051999420399,34.29056603773585,4.155450954538644
"∀x (SoccerPlayer(x) → ¬BasketballPlayer(x))
∀x (Defender(x) → SoccerPlayer(x))
∀x (CenterBack(x) → Defender(x))
∃x (Athlete(x) ∧ CenterBack(x))
BasketballPlayer(sc)",94.64342424242425,33.55455781565087,34.92480359147026,3.731739955884988
"∀x (SoccerPlayer(x) → ¬BasketballPlayer(x))  
∀x (Defender(x) → SoccerPlayer(x))  
∀x (Centerback(x) → Defender(x))  
∃x (Athlete(x) ∧ Centerback(x))  
BasketballPlayer(stephenCurry)",99.62350550964186,32.27933244014892,34.950413223140494,4.0103541739597635
"∀x (JoinGov(x) → ManyOpportunities(x))  
∀x ((Student(x) ∧ StayAlone(x)) → ManyOpportunities(x))  
∀x (WantLeadership(x) → JoinGov(x))  
∀x ((WellAdjusted(x) ∧ Engaged(x)) → Respected(x))  
∀x (CareCommunity(x) → (WellAdjusted(x) ∧ Engaged(x)))  
¬StayAlone(tyler) → ManyOpportunities(tyler)",99.63005903187722,32.345838729806495,34.62573789846517,4.001233415770383
"∀x ((JoinSG(x) ∧ HighSchool(x)) → ManyOpportunities(x))  
∀x ((Student(x) ∧ StayAlone(x) ∧ HighSchool(x)) → ManyOpportunities(x))  
∀x (WantLeadership(x) → (JoinSG(x) ∧ HighSchool(x)))  
∀x ((WellAdjusted(x) ∧ Engaged(x)) → Respected(x))  
∀x (CareCommunity(x) → (WellAdjusted(x) ∧ Engaged(x)))  
(¬StayAlone(Tyler) ∧ HighSchool(Tyler)) → ManyOpportunities(Tyler)",99.00366959706959,32.75625470844513,34.825641025641026,3.8572041502214263
"∀x ((Runner(x) ∧ Ranked(x)) → FinishedWithin3(x))  
∀x ((Runner(x) ∧ YaleClub(x)) → Ranked(x))  
∀x ((Runner(x) ∧ TShirt(x)) → YaleClub(x))  
∃x ((Runner(x) ∧ TShirt(x)) ∧ MajorCS(x))  
Runner(Tim) ∧ (FinishedWithin3(Tim) → ¬(YaleClub(Tim) ∧ Ranked(Tim)))  
Runner(Tim) ∧ (MajorCS(Tim) → (TShirt(Tim) ∨ YaleClub(Tim)))",115.6890012642225,35.447037107248875,34.19089759797724,4.041218486484768
"FOL Premises:
∀x ((Runner(x) ∧ Top1000(x)) → Finished(x))
∀x ((Runner(x) ∧ YaleClub(x)) → Top1000(x))
∀x ((Runner(x) ∧ TShirt(x)) → YaleClub(x))
∃x (Runner(x) ∧ TShirt(x) ∧ MajorCS(x))
Runner(Tim)
Finished(Tim) → ¬(YaleClub(Tim) ∧ Top1000(Tim))
MajorCS(Tim) → (TShirt(Tim) ∨ YaleClub(Tim))",106.85622747093022,36.05278276947316,34.43604651162791,3.7887889330539406
"∀x ((Runner(x) ∧ Ranked(x)) → FinishedWithin3Hours(x))  
∀x ((Runner(x) ∧ YaleClub(x)) → Ranked(x))  
∀x ((Runner(x) ∧ TShirtBulldog(x)) → YaleClub(x))  
∃x ((Runner(x) ∧ TShirtBulldog(x)) ∧ MajoringCS(x))  
Runner(Tim) ∧ (FinishedWithin3Hours(Tim) → ¬(YaleClub(Tim) ∧ Ranked(Tim)))  
Runner(Tim) ∧ (MajoringCS(Tim) → (TShirtBulldog(Tim) ∨ YaleClub(Tim)))",112.94788124410934,36.12166112825519,34.32327992459943,3.659147960168291
"∀x (Flower(x) → ¬Noisy(x))
∀x (Rose(x) → Flower(x))",94.74194089834515,29.480957867954526,35.38297872340426,3.940442381594721
"∀x (OpticalEngineer(x) → (StudiesScience(x) ∧ StudiesEngineering(x)))  
∀x (StudiesOpticalEngineering(x) → OpticalEngineer(x))  
∀x (OpticalEngineer(x) → StudiesLight(x))  
OpticalEngineer(murphy)",95.20711627906977,30.37469709168683,34.590531561461795,3.9497605019912605
