Translation,Avg Logit Value,Std Logit Value,Avg Non Zero,Std Non Zero
"

∀x (ProfessionalSoccerPlayer(x) → ¬PlaysBasketball(x))  
∀x (ProfessionalSoccerDefender(x) → ProfessionalSoccerPlayer(x))  
∀x (ProfessionalCenterback(x) → ProfessionalSoccerDefender(x))  
∃x (Athlete(x) ∧ ProfessionalCenterback(x))  
PlaysBasketball(StephenCurry)",120.15216980118217,24.706295032248278,1.1918323481998925,0.4854220074932249
"

∀x (ProfessionalSoccerPlayer(x) → ¬ProfessionalBasketballPlayer(x))  
∀x (ProfessionalSoccerDefender(x) → ProfessionalSoccerPlayer(x))  
∀x (ProfessionalCenterback(x) → ProfessionalSoccerDefender(x))  
∃x (Athlete(x) ∧ ProfessionalCenterback(x))  
ProfessionalBasketballPlayer(StephenCurry)",120.55528754984492,25.710275674993717,1.1914045192733718,0.49958478447418114
"

∀x (ProfessionalSoccerPlayer(x) → ¬PlaysProfessionalBasketball(x))  
∀x (ProfessionalSoccerDefender(x) → ProfessionalSoccerPlayer(x))  
∀x (ProfessionalCenterback(x) → ProfessionalSoccerDefender(x))  
∃x (Athlete(x) ∧ ProfessionalCenterback(x))  
PlaysProfessionalBasketball(StephenCurry)",132.24451620745543,28.12788052508055,1.1288492706645057,0.4090873801207052
"

∀x (Join(x) → Opportunities(x))  
∀x (Student(x) ∧ StayAlone(x) → Opportunities(x))  
∀x (WantLeadership(x) → Join(x))  
∀x ((WellAdjusted(x) ∧ Engaged(x)) → Respected(x))  
∀x (CareCommunity(x) → (WellAdjusted(x) ∧ Engaged(x)))  
¬StayAlone(Tyler) → Opportunities(Tyler)",117.52840098436594,23.250879410342023,1.194267515923567,0.5083684453287116
"

∀x (JoinSG(x) → Opportunities(x))  
∀x (StayAlone(x) → Opportunities(x))  
∀x (WantLeadership(x) → JoinSG(x))  
∀x (WellAdjusted(x) → Respected(x))  
∀x (CareCommunity(x) → WellAdjusted(x))  
¬StayAlone(Tyler) → Opportunities(Tyler)",135.0971995490417,27.07213304922682,1.0935738444193912,0.3171771115363066
"

∀x (Runners(x) ∧ RankedTop1000(x) → FinishedWithin3Hours(x))  
∀x (Runners(x) ∧ FromYaleRunningClub(x) → RankedTop1000(x))  
∀x (Runners(x) ∧ WearingBulldogLogo(x) → FromYaleRunningClub(x))  
∃x (Runners(x) ∧ WearingBulldogLogo(x) ∧ MajorCS(x))  
Runners(Tim) ∧ (FinishedWithin3Hours(Tim) → ¬(FromYaleRunningClub(Tim) ∧ RankedTop1000(Tim)))  
Runners(Tim) ∧ (MajorCS(Tim) → (WearingBulldogLogo(Tim) ∨ FromYaleRunningClub(Tim)))",123.5256695421367,25.56923409529367,1.1532846715328466,0.46195054047160955
"

∀x (RankedTop1000(x) → FinishedWithin3Hours(x))  
∀x (FromYaleClub(x) → RankedTop1000(x))  
∀x (WearsBulldogTshirt(x) → FromYaleClub(x))  
∃x (WearsBulldogTshirt(x) ∧ MajorCS(x))  
Runner(Tim) ∧ (FinishesWithin3Hours(Tim) → ¬(FromYaleClub(Tim) ∧ RankedTop1000(Tim)))  
Runner(Tim) ∧ (MajorCS(Tim) → (WearsBulldogTshirt(Tim) ∨ FromYaleClub(Tim)))",138.2448424976701,25.616526293328608,1.0689655172413792,0.2973893110930718
"

∀x (RankedInTop1000(x) → FinishedWithin3Hours(x))  
∀x (FromYaleRunningClub(x) → RankedInTop1000(x))  
∀x (WearingBulldogTshirt(x) → FromYaleRunningClub(x))  
∃x (WearingBulldogTshirt(x) ∧ MajorInCS(x))  
Runner(Tim) ∧ (FinishedWithin3Hours(Tim) → ¬(FromYaleRunningClub(Tim) ∧ RankedInTop1000(Tim)))  
Runner(Tim) ∧ (MajorInCS(Tim) → (WearingBulldogTshirt(Tim) ∨ FromYaleRunningClub(Tim)))",129.92663505244755,25.87107912467689,1.1158216783216783,0.3924034196153935
"

∀x (Flower(x) → ¬Noisy(x))  
∀x (Roses(x) → Flower(x))",123.11911784511786,24.46266106914773,1.1981721981721982,0.5098137689920685
"

∀x (OpticalEngineer(x) → (StudiesScience(x) ∧ StudiesEngineering(x)))  
∀x (StudiesOpticalEngineering(x) → OpticalEngineer(x))  
∀x (OpticalEngineer(x) → (StudiesGeneration(x) ∨ StudiesTransmission(x) ∨ StudiesDetection(x)))  
OpticalEngineer(Murphy)",125.71289108910891,25.774385297296323,1.1516651665166517,0.4705019816209287
